province,tpye,data
香港,confirm,8964
香港,dead,150
香港,heal,8011
香港,new_confirm,41
台湾,confirm,812
台湾,dead,7
台湾,heal,689
台湾,new_confirm,4
上海,confirm,1530
上海,dead,7
上海,heal,1429
上海,new_confirm,4
辽宁,confirm,371
辽宁,dead,2
辽宁,heal,290
辽宁,new_confirm,9
北京,confirm,992
北京,dead,9
北京,heal,944
北京,new_confirm,2
广东,confirm,2053
广东,dead,8
广东,heal,2012
广东,new_confirm,2
福建,confirm,517
福建,dead,1
福建,heal,489
福建,new_confirm,1
四川,confirm,856
四川,dead,3
四川,heal,826
四川,new_confirm,3
陕西,confirm,516
陕西,dead,3
陕西,heal,490
陕西,new_confirm,6
内蒙古,confirm,366
内蒙古,dead,1
内蒙古,heal,345
内蒙古,new_confirm,1
云南,confirm,230
云南,dead,2
云南,heal,215
云南,new_confirm,0
浙江,confirm,1306
浙江,dead,1
浙江,heal,1293
浙江,new_confirm,0
天津,confirm,314
天津,dead,3
天津,heal,300
天津,new_confirm,1
黑龙江,confirm,969
黑龙江,dead,13
黑龙江,heal,946
黑龙江,new_confirm,1
山东,confirm,863
山东,dead,7
山东,heal,848
山东,new_confirm,0
河南,confirm,1299
河南,dead,22
河南,heal,1270
河南,new_confirm,0
河北,confirm,378
河北,dead,6
河北,heal,367
河北,new_confirm,4
山西,confirm,225
山西,dead,0
山西,heal,221
山西,new_confirm,1
广西,confirm,264
广西,dead,2
广西,heal,261
广西,new_confirm,0
安徽,confirm,993
安徽,dead,6
安徽,heal,986
安徽,new_confirm,0
湖南,confirm,1021
湖南,dead,4
湖南,heal,1016
湖南,new_confirm,0
江苏,confirm,684
江苏,dead,0
江苏,heal,683
江苏,new_confirm,0
重庆,confirm,590
重庆,dead,6
重庆,heal,584
重庆,new_confirm,0
海南,confirm,171
海南,dead,6
海南,heal,165
海南,new_confirm,0
西藏,confirm,1
西藏,dead,0
西藏,heal,1
西藏,new_confirm,0
澳门,confirm,46
澳门,dead,0
澳门,heal,46
澳门,new_confirm,0
吉林,confirm,157
吉林,dead,2
吉林,heal,155
吉林,new_confirm,0
贵州,confirm,147
贵州,dead,2
贵州,heal,145
贵州,new_confirm,0
江西,confirm,935
江西,dead,1
江西,heal,934
江西,new_confirm,0
湖北,confirm,68149
湖北,dead,4512
湖北,heal,63637
湖北,new_confirm,0
宁夏,confirm,75
宁夏,dead,0
宁夏,heal,75
宁夏,new_confirm,0
新疆,confirm,980
新疆,dead,3
新疆,heal,977
新疆,new_confirm,0
青海,confirm,18
青海,dead,0
青海,heal,18
青海,new_confirm,0
甘肃,confirm,182
甘肃,dead,2
甘肃,heal,180
甘肃,new_confirm,0
